State,Population,Increase,Perimeter(Km2),Densty,SexRatio,Literac
Maharashtra,112374333,15.99%,307713,365,929,82.34
Bihar,104099452,25.42%,94163,"1106",918,61.8
West Bengal,91276111,13.84%,88752,1028,950,76.26
